lat,lon,datetime
45.49693889,-122.56561667,2017-06-09T22:00:00Z
45.49727222,-122.564675,2017-06-10T14:00:00Z
45.495725,-122.55869444,2017-04-16T00:00:00Z
45.501,-122.56546667,2017-04-13T22:00:00Z
45.49738056,-122.56848889,2017-10-19T15:00:00Z
45.49738056,-122.56848889,2017-01-29T15:00:00Z
45.49738056,-122.56848889,2017-12-25T02:00:00Z
45.49693889,-122.56561667,2017-09-18T21:00:00Z
45.50447474,-122.56863333,2007-01-09T23:00:00Z
45.50447651,-122.56873055,2007-01-01T21:00:00Z
45.50428055,-122.56861666,2007-04-10T00:00:00Z
45.50448173,-122.56901944,2007-01-18T16:00:00Z
45.50447499,-122.56843055,2007-02-13T16:00:00Z
45.50844084,-122.56555751,2007-01-31T03:00:00Z
45.50844084,-122.56555751,2007-02-24T06:00:00Z
45.50775332,-122.56548614,2007-01-05T02:00:00Z
45.50450089,-122.57008055,2007-03-12T01:00:00Z
45.50447506,-122.56842682,2007-04-12T18:00:00Z
45.50349447,-122.56506276,2007-04-13T21:00:00Z
45.50609714,-122.56574897,2007-04-14T04:00:00Z
45.50656178,-122.5650764,2007-01-24T15:00:00Z
45.50349447,-122.56506276,2007-04-20T23:00:00Z
45.50444559,-122.56540452,2007-03-30T23:00:00Z
45.50443393,-122.56593705,2007-04-11T00:00:00Z
45.50461927,-122.56866944,2007-03-26T19:00:00Z
45.50442829,-122.56571845,2007-04-17T17:00:00Z
45.50684722,-122.56653611,2007-05-14T14:00:00Z
45.50407877,-122.56505427,2007-06-05T16:00:00Z
45.50564791,-122.56888888,2007-06-01T17:00:00Z
45.50447474,-122.56863333,2007-06-18T16:00:00Z
45.50443393,-122.56593705,2007-06-21T21:00:00Z
45.50440001,-122.56862222,2007-06-28T21:00:00Z
45.51038366,-122.56568342,2007-07-14T05:00:00Z
45.51038366,-122.56568342,2007-07-02T03:00:00Z
45.50443393,-122.56593705,2007-07-28T19:00:00Z
45.50981797,-122.56565309,2007-07-31T23:00:00Z
45.51038366,-122.56568342,2007-04-09T02:00:00Z
45.50867301,-122.56908333,2007-08-11T20:00:00Z
45.50775332,-122.56548614,2007-08-11T00:00:00Z
45.50443393,-122.56593705,2007-08-17T21:00:00Z
45.5105288,-122.56568788,2007-08-31T00:00:00Z
45.50263895,-122.57174444,2007-09-12T00:00:00Z
45.50443393,-122.56593705,2007-09-11T15:00:00Z
45.50832763,-122.56519994,2007-09-06T00:00:00Z
45.50665134,-122.56542785,2007-09-16T21:00:00Z
45.50443393,-122.56593705,2007-10-07T22:00:00Z
45.50448055,-122.56863333,2007-10-13T20:00:00Z
45.50983612,-122.56531702,2007-10-23T13:00:00Z
45.50637567,-122.56541829,2007-11-03T03:00:00Z
45.50983612,-122.56531702,2007-10-31T14:00:00Z
45.50443055,-122.56862777,2007-11-12T18:00:00Z
45.51073055,-122.56909444,2007-11-12T22:00:00Z
45.50448055,-122.56863333,2007-11-23T17:00:00Z
45.50802593,-122.56517652,2007-12-05T14:00:00Z
45.50447966,-122.56863426,2007-12-07T02:00:00Z
45.50443393,-122.56593705,2007-12-08T23:00:00Z
45.50443393,-122.56593705,2007-12-08T17:00:00Z
45.50447222,-122.56823888,2007-08-06T20:00:00Z
45.50448333,-122.56886944,2007-12-21T00:00:00Z
